invoice_id,customer_id,invoice_date,ship_date,amount,payment_terms_days,quarter,payment_date,is_paid
INV5018,CUST204,2025-01-01,2024-12-31,4369.68,45,1,2025-03-17,True
INV5011,CUST207,2025-01-03,2025-01-02,1571.8,30,1,2025-01-20,True
INV5019,CUST219,2025-01-05,2025-01-04,6220.44,30,1,2025-01-22,True
INV5021,CUST217,2025-01-10,2025-01-08,4339.07,30,1,2025-01-31,True
INV5026,CUST219,2025-01-12,2025-01-11,2599.44,30,1,2025-03-05,True
INV5030,CUST211,2025-01-13,2025-01-12,3504.35,30,1,2025-01-31,True
INV5029,CUST202,2025-01-14,2025-01-14,1856.38,60,1,2025-02-16,True
INV5016,CUST217,2025-01-19,2025-01-17,5244.66,30,1,2025-03-15,True
INV5025,CUST213,2025-01-22,2025-01-21,1212.08,45,1,2025-02-15,True
INV5010,CUST203,2025-01-22,2025-01-20,4614.96,45,1,2025-02-21,True
INV5012,CUST203,2025-01-23,2025-01-21,1417.08,45,1,2025-05-30,True
INV5007,CUST217,2025-01-24,2025-01-23,3238.57,30,1,2025-05-05,True
INV5017,CUST204,2025-01-24,2025-01-24,6625.55,45,1,2025-02-12,True
INV5022,CUST212,2025-01-30,2025-01-28,2093.0,45,1,2025-03-12,True
INV5031,CUST212,2025-01-31,2025-01-31,7936.86,45,1,2025-03-02,True
INV5024,CUST206,2025-02-09,2025-02-07,2798.02,30,1,2025-02-25,True
INV5028,CUST218,2025-02-11,2025-02-10,4009.98,45,1,2025-03-10,True
INV5003,CUST205,2025-02-11,2025-02-11,3295.43,60,1,2025-03-20,True
INV5008,CUST216,2025-02-15,2025-02-14,3994.74,45,1,2025-03-19,True
INV5004,CUST214,2025-02-17,2025-02-16,8481.05,60,1,2025-04-01,True
INV5020,CUST220,2025-02-23,2025-02-22,2705.25,30,1,2025-03-23,True
INV5032,CUST205,2025-02-24,2025-02-24,2137.11,60,1,2025-04-04,True
INV5027,CUST218,2025-03-01,2025-02-28,2732.07,45,1,2025-03-22,True
INV5015,CUST212,2025-03-03,2025-03-03,3001.84,45,1,2025-03-21,True
INV5001,CUST220,2025-03-05,2025-03-04,5865.58,30,1,2025-03-30,True
INV5013,CUST203,2025-03-08,2025-03-06,5245.76,45,1,2025-04-05,True
INV5006,CUST220,2025-03-14,2025-03-12,1170.55,30,1,2025-04-09,True
INV5009,CUST216,2025-03-18,2025-03-16,3711.01,45,1,2025-04-19,True
INV5023,CUST205,2025-03-20,2025-03-20,6896.95,60,1,2025-05-01,True
INV5005,CUST201,2025-03-21,2025-03-21,2310.98,30,1,2025-04-04,True
INV5002,CUST205,2025-03-21,2025-03-20,1934.51,60,1,2025-05-15,True
INV5033,CUST213,2025-03-21,2025-03-20,3167.7,45,1,2025-07-11,True
INV5014,CUST219,2025-03-23,2025-03-22,3855.39,30,1,2025-04-19,True
INV5034,CUST206,2025-03-28,2025-03-27,4525.56,30,1,2025-04-24,True
INV5035,CUST208,2025-03-28,2025-03-27,4885.25,60,1,2025-05-12,True
INV5037,CUST203,2025-03-29,2025-03-29,4537.43,45,1,2025-04-19,True
INV5038,CUST219,2025-03-30,2025-03-28,2186.41,30,1,2025-04-19,True
INV5036,CUST207,2025-03-30,2025-03-28,6052.96,30,1,2025-04-23,True
INV5051,CUST214,2025-04-13,2025-04-12,3390.15,60,2,2025-06-09,True
INV5043,CUST212,2025-04-14,2025-04-12,8385.8,45,2,2025-05-19,True
INV5048,CUST204,2025-04-15,2025-04-14,4562.48,45,2,2025-05-15,True
INV5057,CUST209,2025-04-18,2025-04-18,7564.85,60,2,2025-06-15,True
INV5052,CUST205,2025-04-26,2025-04-25,3094.59,60,2,2025-09-23,True
INV5044,CUST209,2025-04-27,2025-04-27,4325.61,60,2,2025-06-22,True
INV5067,CUST204,2025-05-01,2025-04-29,5233.57,45,2,2025-06-07,True
INV5046,CUST211,2025-05-04,2025-05-04,2333.69,30,2,2025-06-04,True
INV5063,CUST211,2025-05-05,2025-05-05,3247.74,30,2,2025-06-18,True
INV5065,CUST200,2025-05-07,2025-05-07,3360.7,45,2,2025-06-12,True
INV5058,CUST210,2025-05-09,2025-05-09,1490.81,60,2,2025-06-20,True
INV5062,CUST218,2025-05-12,2025-05-12,6471.35,45,2,2025-06-14,True
INV5060,CUST221,2025-05-14,2025-05-12,3399.39,45,2,2025-11-01,True
INV5042,CUST210,2025-05-18,2025-05-17,654.38,60,2,2025-06-06,True
INV5054,CUST214,2025-05-20,2025-05-20,2269.05,60,2,2025-07-01,True
INV5056,CUST212,2025-05-22,2025-05-20,4197.01,45,2,2025-06-21,True
INV5061,CUST202,2025-05-28,2025-05-28,7791.9,60,2,2025-07-07,True
INV5069,CUST204,2025-05-30,2025-05-28,3286.84,45,2,2025-07-01,True
INV5049,CUST209,2025-06-04,2025-06-04,3490.7,60,2,2025-07-05,True
INV5064,CUST203,2025-06-05,2025-06-03,4083.74,45,2,2025-06-13,True
INV5039,CUST221,2025-06-05,2025-06-05,1906.66,45,2,2025-10-02,True
INV5045,CUST204,2025-06-05,2025-06-05,1854.43,45,2,2025-07-08,True
INV5041,CUST208,2025-06-06,2025-06-06,2259.08,60,2,2025-07-19,True
INV5040,CUST204,2025-06-07,2025-06-06,3556.35,45,2,2025-07-28,True
INV5047,CUST219,2025-06-08,2025-06-06,7539.82,30,2,2025-06-28,True
INV5066,CUST204,2025-06-11,2025-06-10,4403.97,45,2,2025-11-12,True
INV5053,CUST207,2025-06-17,2025-06-16,12327.29,30,2,2025-07-05,True
